obsname,well_id,layer,row,col,land_elev_m,SWL_m,obs_head_m
obs_000249,71541,0,1222,852,417.8480835,22.555200000000003,395.29288349999996
obs_000250,7178988,0,866,1119,152.97088623,0.0,152.97088623
obs_000251,7179125,0,695,1396,92.63544464,0.0,92.63544464
obs_000252,26000003201,0,844,692,265.36114502,1.8288000000000002,263.53234502
obs_000253,EW521,0,929,342,239.74620056,0.0,239.74620056
obs_000254,1001311,0,1134,970,382.01306152,18.288,363.72506152
obs_000255,2050486,0,1128,934,202.447052,0.0,202.447052
obs_000256,62000012424,0,916,596,231.73301697,0.9144000000000001,230.81861697
obs_000257,2100848,0,1069,824,174.12191772,1.19999717502594,172.92192054497406
obs_000258,IX484,0,861,359,282.01470947,0.0,282.01470947
obs_000259,4604763,0,833,1148,228.2986145,2.9999927558898927,225.2986217441101
obs_000260,61000003874,0,920,548,199.31233215,4.572,194.74033215
obs_000261,GK423,0,1007,395,238.4055481,2.4384,235.9671481
obs_000262,6713733,0,877,1026,390.28085327,0.0,390.28085327
obs_000263,5738561,0,839,1069,313.60549927,16.799958270263673,296.8055409997363
obs_000264,23000003337,0,1014,666,267.94320679,1.524,266.41920679
obs_000265,44594,0,1100,561,232.4775238,6.096,226.3815238
obs_000266,BG913,0,878,272,267.94927979,0.0,267.94927979
obs_000267,49000000246,0,641,676,208.15864563,2.7432000000000003,205.41544563
obs_000268,NE167,0,669,288,439.56356812,2.4384,437.12516812
obs_000269,4908910,0,857,1058,404.3192749,9.099978268432618,395.2192966315674
obs_000270,57604,0,1105,567,217.00959778,3.048,213.96159778
obs_000271,325887,0,1115,609,268.07818604,2.4384,265.63978604
obs_000272,45000001462,0,747,603,177.42170715,0.0,177.42170715
obs_000273,398757,0,1113,553,260.20385742,17.3736,242.83025742
obs_000274,264209,0,1142,982,351.23098755,4.8768,346.35418755
obs_000275,7120046,0,852,1110,186.20530701,0.0,186.20530701
obs_000276,318841,0,1123,551,257.03115845,5.7912,251.23995845000002
obs_000277,76742,0,1120,635,308.72567749,18.8976,289.82807749
obs_000278,367149,0,1116,603,266.22503662,1.2192,265.00583662
obs_000279,94887,0,1153,583,246.84262085,3.048,243.79462085
obs_000280,5703853,0,780,1054,180.4324646,2.39999435005188,178.03247024994812
obs_000281,25031,0,1103,527,248.68476868,12.8016,235.88316867999998
obs_000282,20000003247,0,773,681,348.85482788,5.638800000000001,343.21602788
obs_000283,351088,0,1108,579,236.53823853,6.096,230.44223853
obs_000284,125569,0,1165,1013,350.32354736,1.8288000000000002,348.49474736
obs_000285,13912,0,1141,455,212.08439636,12.192,199.89239636
obs_000286,7215519,0,805,1130,284.07528687,0.0,284.07528687
obs_000287,5718474,0,755,1044,187.03013611,6.39998493347168,180.63015117652833
obs_000288,7101524,0,785,1050,181.12193298,0.0,181.12193298
obs_000289,7133433,0,939,1058,196.91738892,2.6999936256408694,194.21739529435914
obs_000290,7143264,0,875,1112,75.28957367,0.0,75.28957367
obs_000291,GX046,0,836,280,302.99517822,0.0,302.99517822
obs_000292,87494,0,1154,544,242.262146,6.4008,235.861346
obs_000293,6929785,0,861,1115,171.3770752,0.0,171.3770752
obs_000294,61000004197,0,929,569,211.11779785,9.7536,201.36419784999998
obs_000295,ON117,0,622,297,495.36343384,7.62,487.74343384
obs_000296,SE273,0,937,388,311.02786255,10.0584,300.96946255
obs_000297,5302074,0,816,1291,76.91912079,1.4999963779449463,75.41912441205504
obs_000298,CI867,0,629,308,479.90594482,13.716000000000001,466.18994482
obs_000299,62000005994,0,883,596,293.54602051,1.524,292.02202051
obs_000300,7111110,0,845,1115,210.02882385,0.0,210.02882385
obs_000301,80000002987,0,1043,558,205.90711975,10.668000000000001,195.23911975
obs_000302,EX322,0,845,307,262.62762451,0.0,262.62762451
obs_000303,2700016,0,686,1185,506.30548096,0.0,506.30548096
obs_000304,360583,0,1218,845,384.81109619,5.1816,379.62949619
obs_000305,6904705,0,809,1099,226.91273499,0.299999293756485,226.6127356962435
obs_000306,6506268,0,918,1024,289.8197937,2.39999435005188,287.4197993499481
obs_000307,245085,0,1171,965,356.07440186,2.5908,353.48360186
